epoch,gen_loss,disc_loss
1,[10.440666],2.000949
2,[8.042477],2.002099
3,[8.267852],2.0004747
4,[8.164699],1.9991474
5,[7.5629134],1.9982418
6,[7.077619],1.9977714
7,[6.848003],1.9969103
8,[6.7348566],1.9963375
9,[6.6116734],1.9957879
10,[6.4199686],1.9950223
11,[6.187534],1.9941761
12,[5.9696016],1.9933239
13,[5.798599],1.9925932
14,[5.672061],1.9918835
15,[5.570647],1.9911591
16,[5.474627],1.9904549
17,[5.370409],1.9897755
18,[5.2542324],1.9889162
19,[5.1309977],1.9878074
20,[5.0119944],1.9868212
21,[4.9051523],1.9859133
22,[4.812135],1.9851389
23,[4.730815],1.984333
24,[4.6551294],1.9836881
25,[4.580772],1.9831245
26,[4.505241],1.9825168
27,[4.4293385],1.9820352
28,[4.355076],1.981375
29,[4.283756],1.9806156
30,[4.216016],1.9798079
31,[4.1503086],1.9790212
32,[4.0854063],1.9782488
33,[4.0213923],1.9774253
34,[3.9591029],1.9765649
35,[3.8983846],1.9756588
36,[3.839318],1.9748185
37,[3.7819376],1.9740725
38,[3.7259204],1.9733396
39,[3.6712637],1.9725511
40,[3.6181104],1.9717128
41,[3.5663664],1.9709029
42,[3.5159338],1.9701269
43,[3.4667122],1.96931
44,[3.4186075],1.968462
45,[3.3716984],1.9676042
46,[3.3255904],1.9667588
47,[3.2801547],1.9659115
48,[3.2356777],1.9650679
49,[3.1924431],1.9642832
50,[3.1502986],1.9634824
51,[3.1091323],1.9626348
52,[3.0685167],1.9617491
53,[3.028527],1.9608443
54,[2.989563],1.9598837
55,[2.9516659],1.9589436
56,[2.914713],1.9580114
57,[2.878264],1.9571021
58,[2.8423038],1.95624
59,[2.807059],1.955399
60,[2.7725008],1.9545494
61,[2.7385938],1.9537044
62,[2.705255],1.9528873
63,[2.6724255],1.9520742
64,[2.6401708],1.9512537
65,[2.6085792],1.9504213
66,[2.5775857],1.9496185
67,[2.54712],1.9487967
68,[2.5171618],1.9479959
69,[2.4876993],1.947218
70,[2.45881],1.9464025
71,[2.430531],1.9455523
72,[2.4027636],1.9447287
73,[2.375508],1.9438837
74,[2.3486962],1.9430423
75,[2.3223429],1.9422417
76,[2.2965388],1.9414277
77,[2.271153],1.9406266
78,[2.2461581],1.939805
79,[2.221576],1.938993
80,[2.1973734],1.9382095
81,[2.1735868],1.9374325
82,[2.1502302],1.9366431
83,[2.1272945],1.9358493
84,[2.1047037],1.9350431
85,[2.082472],1.9342175
86,[2.0606456],1.9333708
87,[2.0392127],1.9325359
88,[2.018169],1.9316994
89,[1.9974709],1.9308589
90,[1.9771488],1.9300004
91,[1.9571778],1.9291456
92,[1.9375138],1.9283062
93,[1.9181684],1.9274662
94,[1.8991554],1.9266014
95,[1.8804808],1.9257536
96,[1.8621163],1.924953
97,[1.8440958],1.92415
98,[1.8263618],1.9233437
99,[1.8089122],1.9225419
100,[1.7917414],1.921768
101,[1.7748275],1.9209986
102,[1.758182],1.9201927
103,[1.7418008],1.9193747
104,[1.7257018],1.9185383
105,[1.7098322],1.9177102
106,[1.6941943],1.916858
107,[1.6788206],1.9159958
108,[1.6636988],1.9151378
109,[1.6488118],1.9143007
110,[1.6341588],1.9134483
111,[1.619744],1.9125822
112,[1.6055799],1.9117117
113,[1.5916437],1.9108528
114,[1.5779359],1.9100155
115,[1.5644404],1.909173
116,[1.5511829],1.9083331
117,[1.5381253],1.9074705
118,[1.5252624],1.9065802
119,[1.5125862],1.9056768
120,[1.5001153],1.9047847
121,[1.4878304],1.9038813
122,[1.4757221],1.9029877
123,[1.4637835],1.9021093
124,[1.4520239],1.9012278
125,[1.4404294],1.900332
126,[1.4289988],1.8994288
127,[1.4177424],1.8985271
128,[1.4066652],1.8976319
129,[1.3957506],1.8967369
130,[1.3850061],1.8958395
131,[1.3744123],1.8949215
132,[1.363974],1.8940303
133,[1.3536857],1.8931603
134,[1.3435423],1.8922776
135,[1.3335387],1.8913684
136,[1.3236712],1.8904574
137,[1.3139424],1.8895533
138,[1.30435],1.8886398
139,[1.2948912],1.8877296
140,[1.2855678],1.8868077
141,[1.2763894],1.8858705
142,[1.2673452],1.8849239
143,[1.2584351],1.883982
144,[1.2496474],1.8830444
145,[1.240979],1.8821201
146,[1.2324188],1.8811896
147,[1.2239835],1.8802643
148,[1.2156724],1.879323
149,[1.2074664],1.8783846
150,[1.199389],1.8774296
151,[1.1914283],1.8764589
152,[1.1835773],1.8754857
153,[1.1758442],1.8744887
154,[1.1682096],1.8734918
155,[1.1606659],1.8725047
156,[1.1532166],1.8715092
157,[1.1458762],1.8704995
158,[1.1386366],1.8695071
159,[1.1314912],1.8685038
160,[1.1244386],1.8675137
161,[1.1174659],1.8665045
162,[1.1105882],1.8655014
163,[1.1037997],1.8644946
164,[1.0971111],1.8634791
165,[1.0905259],1.8624687
166,[1.0840169],1.8614339
167,[1.0776017],1.8604095
168,[1.0712482],1.8593717
169,[1.0649598],1.858329
170,[1.0587342],1.8572776
171,[1.0525895],1.8562372
172,[1.0465422],1.8551899
173,[1.0406017],1.8541468
174,[1.034757],1.8530952
175,[1.0289931],1.8520532
176,[1.023238],1.8510027
177,[1.0174925],1.8499608
178,[1.0118291],1.848892
179,[1.0062796],1.8478363
180,[1.0007964],1.8467432
181,[0.99537534],1.8456951
182,[0.98997813],1.8446071
183,[0.98463154],1.8435454
184,[0.9793611],1.8424615
185,[0.9741912],1.841363
186,[0.9690939],1.840291
187,[0.96403605],1.8391848
188,[0.95900655],1.8381258
189,[0.9540128],1.8369868
190,[0.949069],1.8359072
191,[0.94419783],1.8347731
192,[0.9394219],1.8336433
193,[0.93471116],1.8325477
194,[0.93004465],1.8313787
195,[0.9254576],1.8302739
196,[0.92094773],1.8291571
197,[0.9164305],1.8280613
198,[0.9119017],1.8269444
199,[0.9074048],1.8258576
200,[0.90298325],1.8247038
201,[0.8986063],1.8236048
202,[0.89427984],1.8224792
203,[0.8900203],1.821352
204,[0.8858274],1.8202561
205,[0.8816769],1.8190836
206,[0.8775964],1.8180163
207,[0.87350357],1.816836
208,[0.8693937],1.8157198
209,[0.8652964],1.8145721
210,[0.8613418],1.8134212
211,[0.85752785],1.8122966
212,[0.8537586],1.811104
213,[0.8499726],1.8100069
214,[0.8460382],1.8087633
215,[0.84208196],1.8076929
216,[0.83825433],1.806495
217,[0.83458704],1.8052847
218,[0.8310131],1.8041748
219,[0.827444],1.8029063
220,[0.82387084],1.8018017
221,[0.8202806],1.800507
222,[0.8167173],1.7993617
223,[0.81316376],1.798142
224,[0.80963445],1.7969831
225,[0.8061582],1.7957973
226,[0.8027562],1.7945662
227,[0.7994506],1.7934256
228,[0.7961806],1.7921778
229,[0.7928492],1.7910002
230,[0.789468],1.7897819
231,[0.78610367],1.7885647
232,[0.7828854],1.7873862
233,[0.77979416],1.7862074
234,[0.7767459],1.7850457
235,[0.7736882],1.7838292
236,[0.77056175],1.7826605
237,[0.7673755],1.7813942
238,[0.7641991],1.7801676
239,[0.76110774],1.7789156
240,[0.7580988],1.777674
241,[0.7550957],1.7764401
242,[0.7521117],1.77524
243,[0.7491176],1.774015
244,[0.7462085],1.7727792
245,[0.7433613],1.7715856
246,[0.7405659],1.7703228
247,[0.7377726],1.7690955
248,[0.7349707],1.7678559
249,[0.7321138],1.766615
250,[0.72924525],1.7654202
251,[0.72650355],1.7641568
252,[0.72389376],1.7630036
253,[0.7212865],1.7617649
254,[0.7185941],1.7605854
255,[0.7157441],1.7593081
256,[0.7129188],1.7580521
257,[0.7101935],1.7568133
