epoch,gen_loss,disc_loss
1,[18.370676],1.9978309
2,[17.734453],1.9948919
3,[17.19333],1.9920764
4,[16.746542],1.989418
5,[16.387205],1.9870985
6,[16.102186],1.9848386
7,[15.877951],1.9826174
8,[15.701665],1.9805126
9,[15.563534],1.9784443
10,[15.452008],1.9763614
11,[15.355469],1.9742658
12,[15.265369],1.9721307
13,[15.174628],1.9700239
14,[15.0791855],1.9680188
15,[14.978252],1.96601
16,[14.872576],1.9639761
17,[14.764512],1.9619466
18,[14.655979],1.959895
19,[14.549566],1.957819
20,[14.447158],1.9557427
21,[14.3502],1.9536413
22,[14.259662],1.9515592
23,[14.176077],1.949466
24,[14.098659],1.9473572
25,[14.026789],1.9453017
26,[13.959636],1.9432902
27,[13.896174],1.9412602
28,[13.835178],1.9391994
29,[13.775599],1.9371374
30,[13.71681],1.9350724
31,[13.658277],1.932975
32,[13.599899],1.9308314
33,[13.5417185],1.9286517
34,[13.483984],1.9264257
35,[13.427056],1.9241728
36,[13.371337],1.9218993
37,[13.316985],1.9196013
38,[13.264241],1.9173068
39,[13.213064],1.914999
40,[13.163161],1.9126697
41,[13.114401],1.9103179
42,[13.066646],1.9079559
43,[13.019496],1.9055598
44,[12.972819],1.9031401
45,[12.9265175],1.9006809
46,[12.880436],1.8981996
47,[12.834692],1.8957021
48,[12.789319],1.8931799
49,[12.744405],1.8906379
50,[12.700108],1.8880907
51,[12.6563635],1.88553
52,[12.61314],1.8829684
53,[12.570461],1.8803971
54,[12.528321],1.8778057
55,[12.4867],1.8751984
56,[12.4455595],1.8725923
57,[12.4048195],1.8699708
58,[12.364465],1.8673236
59,[12.324463],1.8646634
60,[12.284779],1.8619881
61,[12.245403],1.8592894
62,[12.20638],1.8565629
63,[12.167735],1.853822
64,[12.129369],1.8510745
65,[12.091274],1.84831
66,[12.053472],1.8455379
67,[12.015952],1.8427602
68,[11.9787245],1.839962
69,[11.941774],1.8371437
70,[11.905101],1.8343053
71,[11.8687105],1.8314481
72,[11.832517],1.8285707
73,[11.796534],1.8256717
74,[11.760771],1.8227661
75,[11.725223],1.819838
76,[11.68989],1.8168919
77,[11.654818],1.8139322
78,[11.61999],1.810966
79,[11.585415],1.8079896
80,[11.55107],1.8049946
81,[11.516928],1.8019835
82,[11.483002],1.7989662
83,[11.4493065],1.7959362
84,[11.415853],1.7928891
85,[11.382599],1.789846
86,[11.34954],1.7867916
87,[11.316675],1.7837234
88,[11.283996],1.7806475
89,[11.25152],1.7775607
90,[11.219245],1.7744565
91,[11.1872015],1.7713573
92,[11.15538],1.7682428
93,[11.12374],1.7651305
94,[11.092285],1.7620099
95,[11.061001],1.7588704
96,[11.029903],1.7557248
97,[10.998942],1.7525706
98,[10.968158],1.7494024
99,[10.937551],1.7462245
100,[10.907125],1.7430491
101,[10.876866],1.7398598
102,[10.84678],1.7366562
103,[10.816833],1.7334447
104,[10.78704],1.7302263
105,[10.75739],1.7270072
106,[10.727887],1.7237833
107,[10.698554],1.7205571
108,[10.669382],1.7173228
109,[10.64037],1.7140725
110,[10.611499],1.710813
111,[10.582794],1.7075382
112,[10.554242],1.7042575
113,[10.525835],1.7009624
114,[10.497571],1.6976588
115,[10.469444],1.6943498
116,[10.441494],1.6910263
117,[10.413727],1.6876986
118,[10.386138],1.6843584
119,[10.358716],1.6810105
120,[10.331439],1.6776421
121,[10.304293],1.6742563
122,[10.277311],1.6708515
123,[10.250487],1.6674467
124,[10.223793],1.6640328
125,[10.197293],1.6606145
126,[10.170961],1.6571847
127,[10.144762],1.6537404
128,[10.118688],1.6502911
129,[10.092781],1.6468215
130,[10.067022],1.6433389
131,[10.041407],1.6398325
132,[10.015895],1.636308
133,[9.99051],1.6327827
134,[9.965261],1.6292574
135,[9.94015],1.6257257
136,[9.915182],1.622182
137,[9.890328],1.6186007
138,[9.865581],1.6150124
139,[9.840955],1.6114194
140,[9.816437],1.6078026
141,[9.792049],1.6042044
142,[9.767784],1.600599
143,[9.743644],1.5969708
144,[9.719634],1.5933377
145,[9.69574],1.589698
146,[9.671952],1.5860484
147,[9.648286],1.582402
148,[9.6247225],1.578748
149,[9.60128],1.5750873
150,[9.577938],1.5714216
151,[9.554663],1.5677472
152,[9.531454],1.564064
153,[9.508322],1.5603919
154,[9.485269],1.5567337
155,[9.462293],1.5530777
156,[9.439406],1.5494351
157,[9.416607],1.5457923
158,[9.3938875],1.542151
159,[9.371258],1.5385166
160,[9.348718],1.5348918
161,[9.326252],1.5312732
162,[9.303897],1.5276566
163,[9.28163],1.5240376
164,[9.2594385],1.520421
165,[9.237326],1.5167906
166,[9.215253],1.513176
167,[9.193261],1.5095832
168,[9.171345],1.506
169,[9.149515],1.5024123
170,[9.127769],1.4988201
171,[9.106089],1.4952242
172,[9.08447],1.4916377
173,[9.062922],1.4880453
174,[9.041457],1.4844317
175,[9.020072],1.4807966
176,[8.998756],1.4771314
177,[8.977506],1.4734766
178,[8.956321],1.469816
179,[8.935199],1.4661585
180,[8.914139],1.4625059
181,[8.893138],1.458852
182,[8.872185],1.455192
183,[8.851294],1.4515419
184,[8.830467],1.4478977
185,[8.8097105],1.4442589
186,[8.789006],1.4406359
187,[8.768351],1.4370431
188,[8.747737],1.4334779
189,[8.727178],1.429944
190,[8.7067],1.4264375
191,[8.686287],1.4229426
192,[8.6659355],1.4194622
193,[8.645641],1.4159938
194,[8.625402],1.4125357
195,[8.605224],1.4090841
196,[8.585092],1.4056411
197,[8.564995],1.402219
198,[8.544962],1.3988237
199,[8.524986],1.3954413
200,[8.505086],1.392071
